participant_number,trial_number,subexperiment_number,MRTScore,MRTAcc,MRTGroup,nback_hits_0,nback_hit_rate_0,nback_correct_rejections_0,nback_rt_target_0,nback_rt_nontarget_0,nback_composite_0,nback_hits_1,nback_hit_rate_1,nback_correct_rejections_1,nback_rt_target_1,nback_rt_nontarget_1,nback_composite_1,nback_hits_2,nback_hit_rate_2,nback_correct_rejections_2,nback_rt_target_2,nback_rt_nontarget_2,nback_composite_2,rest_time,time_subexperiment,accuracy_subexperiment,accuracy_total,answer_correct_trial,answer_incorrect_trial,nback_hits_avg,nback_hit_rate_avg,nback_rt_target_avg,nback_rt_non_target_avg,nback_composite_avg,trial_duration,trial_duration_mean,performance_trial,feedback_score_tutorial_1,feedback_score_tutorial_2,feedback_score_tutorial_3,feedback_score_rest_1
4,2,0,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,113.477,75,84.375,1,0,6.666666667,80,614.4927541,,0.145130471,30.3155,18.27975,2.473981956,5,1,7,4
4,3,0,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,113.477,75,84.375,0,1,6.666666667,80,614.4927541,,0.145130471,32.1435,18.27975,2.333286668,5,1,7,4
4,4,0,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,113.477,75,84.375,1,0,6.666666667,80,614.4927541,,0.145130471,26.0168,18.27975,2.882752683,5,1,7,4
4,5,1,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,113.477,100,84.375,1,0,6.666666667,80,614.4927541,,0.145130471,26.881,18.27975,3.720099699,5,1,7,4
4,6,1,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,113.477,100,84.375,1,0,6.666666667,80,614.4927541,,0.145130471,21.956,18.27975,4.554563673,5,1,7,4
4,7,1,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,113.477,100,84.375,1,0,6.666666667,80,614.4927541,,0.145130471,16.112,18.27975,6.206554121,5,1,7,4
4,8,1,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,113.477,100,84.375,1,0,6.666666667,80,614.4927541,,0.145130471,18.595,18.27975,5.377789728,5,1,7,4
4,9,2,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,113.477,50,84.375,1,0,6.666666667,80,614.4927541,,0.145130471,26.554,18.27975,1.882955487,5,1,7,4
4,10,2,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,113.477,50,84.375,0,1,6.666666667,80,614.4927541,,0.145130471,35.007,18.27975,1.428285771,5,1,7,4
4,11,2,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,113.477,50,84.375,0,1,6.666666667,80,614.4927541,,0.145130471,44.776,18.27975,1.116669644,5,1,7,4
