participant_number,tutorial_number,O2Hb_average_peak,O2Hb_highest_peak,O2Hb_lowest_peak,O2Hb_tutorial_difference_peak,O2Hb_auc
27,2,0.009145648901997679,0.38731617442205246,-0.12899080682794756,0.5163069812500001,0.09236095384917475
28,0,0.0076304924553417565,0.16142600032243912,-0.11634566592756086,0.27777166625,0.0834118712651531
28,1,-0.01741216023694832,0.10123250657243914,-0.15506811967756087,0.25630062625,-0.17245609871435696
28,2,0.009135953812648298,0.09938680157243913,-0.049111593427560864,0.148498395,0.09052831680609039
29,0,-0.01157675221021448,0.04292962028796988,-0.07300132308703013,0.11593094337500001,-0.08092335753690538
29,1,0.001237552424503741,0.07349391153796987,-0.08308708096203012,0.1565809925,0.012748950030498918
29,2,-0.012292863646038092,0.031830475037969874,-0.04329657383703012,0.07512704887499999,-0.1233573631002412
30,0,0.0005425606993706326,0.019705393709546028,-0.02135759179045397,0.041062985499999996,0.009582284402316524
30,1,0.003939144461280591,0.05688622233454603,-0.03605544079045397,0.09294166312499999,0.0393576501423753
30,2,0.0021553331058906527,0.04179945858454603,-0.04562162516545397,0.08742108374999999,0.021703309917261132
31,0,-0.007443309449230328,0.05310400702618139,-0.10616685172381861,0.15927085875,-0.17439123222835312
31,1,0.011259772166694337,0.10523003827618138,-0.07724711422381861,0.1824771525,0.11387825289506712
31,2,-0.019726017420656255,0.10488861702618138,-0.1438990629738186,0.24878767999999998,-0.1983939784419314
32,0,-0.008837241978998428,0.1151123245522791,-0.12921305544772088,0.24432537999999998,-0.24232973214000664
32,1,0.02377233153267751,0.1450261895522791,-0.0779628254477209,0.222989015,0.23590119616599373
32,2,0.0050066010528966335,0.07437106205227911,-0.0823039859477209,0.156675048,0.05188674614899502
33,0,0.003106973817595741,0.04563071751296372,-0.02166936487328628,0.06730008238625,0.049027530795476594
33,1,-0.0040162585251418605,0.05212324042671372,-0.08154362573578629,0.1336668661625,-0.040525506551216756
33,2,-0.007106124376734985,0.011629620639213719,-0.01955355083578628,0.031183171475,-0.07142643418423686
34,0,0.0060681711227162085,0.04324477564612027,-0.030926659978879733,0.074171435625,0.05571980640420892
34,1,-0.008380104060732321,0.03092607814612027,-0.04940426810387974,0.08033034625000002,-0.08495602892309814
34,2,-0.0021402292988583183,0.013100249521120266,-0.028063681353879735,0.041163930875000004,-0.02113900183888206
35,0,-0.0010547362305009997,0.012657373858540016,-0.012438780855745702,0.025096154714285716,-0.01699131233234924
35,1,0.004979622433003305,0.019174627858540013,-0.01784884242717427,0.03702347028571428,0.050399844735868365
35,2,-0.0012125082903444461,0.021006532287111444,-0.01958267699860284,0.04058920928571429,-0.012442217949399141
36,0,0.025436602602486327,0.06466331244643696,-0.017473708803563054,0.08213702125000001,0.164785550405504
36,1,0.0007039805683253939,0.04135389619643695,-0.012928791553563052,0.05428268775,0.006243104708130134
36,2,-0.009663598803255284,0.037090642821436946,-0.04783037630356306,0.084921019125,-0.09815972164004096
37,0,-0.0025447075441703683,0.004023998257102087,-0.009411647842897912,0.013435646099999999,-0.016787078051842368
37,1,0.012352399988180274,0.04875687541960209,-0.009729495955397913,0.058486371375,0.12244495516454536
37,2,-0.00572517895075648,0.028604984669602082,-0.05105047283039792,0.0796554575,-0.05716585947528001
38,0,0.013599864699607401,0.05977136435473469,-0.0502548268952653,0.11002619124999999,0.15881050425327267
38,1,-0.006372864125155744,0.011392025104734693,-0.042094583145265305,0.05348660825,-0.06357469198825325
