participant_number,tutorial_number,feedback_score_tutorial,O2Hb_average_peak,O2Hb_highest_peak,O2Hb_lowest_peak,O2Hb_tutorial_difference_peak,O2Hb_auc,duration_fixation,duration_saccade,count_fixations,count_saccades
65,2,6,-0.0092341509480565,0.0512034451544434,-0.0761441803455565,0.1273476255,-0.0905050040321657,768.2083333333236,26.59375,24,32
66,0,1,0.0040144944504409,0.0390566862223055,-0.0526461652062659,0.0917028514285714,0.0377512022826291,445.67073170731993,22.340740740740745,164,270
66,1,2,-0.0055718430952869,0.0518904586508769,-0.0624448294919802,0.1143352881428571,-0.0557548798484309,1668.3846153845884,22.27777777777778,13,18
66,2,4,0.0050671657187107,0.0421749632223055,-0.0338901057776944,0.0760650689999999,0.0518511093761067,771.2727272726744,21.42105263157895,22,19
67,0,1,-0.0087787604051985,0.0195537051046467,-0.0404901226453532,0.06004382775,-0.1068056203075238,396.4656084656091,24.25877192982456,189,228
67,1,1,-0.0127600490671759,0.0687051809796467,-0.1200549202703532,0.1887601012499999,-0.127569065698632,640.6666666666899,21.68,15,25
67,2,5,-0.0232530519822058,0.0711947272296467,-0.0755663557703532,0.146761083,-0.2339032963995066,591.0312499999964,22.210526315789476,32,38
68,0,4,-0.0032945193076248,0.0262435196977257,-0.0352249358022742,0.0614684555,-0.0319638745049366,310.344,79.12531969309462,250,391
68,1,1,-0.0044028983340172,0.0217207416977257,-0.0256457718022742,0.0473665135,-0.0445833127264422,2003.0909090908667,28.375,11,24
68,2,5,-0.0049600412558211,0.0262815168227257,-0.0609075251772742,0.087189042,-0.0502786153913522,862.7272727272992,25.216216216216218,22,37
71,0,1,-0.0429994477932203,-0.006224212,-0.0652378735714285,0.0590136615714285,-0.2627649232948087,366.4791666666715,22.168,192,250
71,1,1,-0.0207453733541206,0.0150714102857142,-0.0747988454285714,0.0898702557142857,-0.2074063749268012,603.3750000000109,21.666666666666668,16,27
71,2,7,-0.0416645220664769,0.0036932501428571,-0.0797493354285714,0.0834425855714285,-0.4170148451302867,1138.470588235294,22.647058823529413,17,17
72,0,4,-0.0040735684260817,0.0277028729404014,-0.0324942071845985,0.060197080125,-0.0378007255586113,384.41206030151983,22.83219178082192,199,292
72,1,1,-0.0025705849151911,0.0237597291904014,-0.0343104720595985,0.0580702012499999,-0.0256301037581357,753.6153846154025,22.181818181818183,13,11
72,2,6,-0.016697707449964,0.0048799400529014,-0.0499159130595985,0.0547958531124999,-0.1677333449857552,762.7619047619103,23.08333333333333,21,24
73,0,4,-0.0012592563693587,0.0439855809594191,-0.0452210140405808,0.089206595,-0.0358487195309621,343.16872427983776,22.175757575757576,243,330
73,1,1,-0.0334584070058464,0.0565128246260858,-0.0913297690405808,0.1478425936666667,-0.3378153056170743,894.090909090888,24.5,11,10
73,2,8,0.0033865763984696,0.0240949084594191,-0.0443893807072475,0.0684842891666666,0.0346956989882589,987.0588235293912,22.57894736842105,17,19
74,0,5,0.0010759450074142,0.0694691925199779,-0.0663893874800221,0.13585858,0.0124780514775092,313.3925233644844,24.07377049180328,214,366
74,1,2,0.0476092502960884,0.1376723725199779,-0.104201758730022,0.24187413125,0.4800326533194298,896.4545454545666,23.105263157894736,11,19
74,2,4,0.0124927523750276,0.0799457375199779,-0.0690815499800221,0.1490272875,0.1242882074844788,673.4642857142733,22.25925925925926,28,54
75,0,4,0.0270609556507485,0.0647396573870232,-0.0180871901129767,0.0828268475,0.1649883872885705,385.861111111115,22.88082901554404,180,193
75,1,4,0.0034480831553996,0.1953179073870232,-0.4544442426129768,0.64976215,0.0340344806097273,993.0000000000058,22.4375,20,32
75,2,6,-0.0280913207781959,0.2245765098870231,-0.4052203301129768,0.62979684,-0.2894869250335706,1190.750000000029,22.107142857142858,16,28
76,0,3,-0.0235402931676027,0.1419223597662126,-0.2044154064837874,0.34633776625,-0.2524288311973501,317.96916299559524,23.834983498349835,227,303
76,1,1,0.0287431993934551,0.1954039735162125,-0.1004907139837874,0.2958946875,0.2917334374446405,2080.818181818171,22.2,11,15
